CODIGO,EAN
684,7896206402860
685,789620640297
701,7896206402372
710,5000456057554
722,7896206402877
723,7896206402396
727,5000456057547
731,7896206402358
732,7896206401146
733,7896206402471
734,7896206402853
736,7891317420246
739,7896206401627
740,7896206403157
742,7896206401610
743,7896206402433
745,7896206402969
746,7896206400866
747,7896206400781
748,7896206402211
752,7896112400646
753,7896206402457
755,7896206402082
756,7896206402426
758,7896226502090
759,7896226501710
760,7896226501727
761,7896226505015
762,7896226505022
763,7896226505169
765,7896226503264
766,7896226501154
767,7896206400385
768,7896261018402
769,7896261018396
770,7896261018242
772,7896261016545
773,7896261001183
774,7896261005082
775,7896226500515
776,7896226503721
777,7896226501147
779,7891317486723
780,7891317486730
781,7896226506319
782,7896226505879
783,7896226500362
784,7896226503707
785,7896226501284
786,7896226505855
787,7896261016538
788,7896261009431
789,7896014681020
790,7896226506487
791,7896226506494
792,7896206405991
793,7896261014350
794,7896226505138
795,7891317434137
796,7896206401160
797,7896014665310
798,7896014665327
801,7896014681150
808,7896014661107
810,7896206402778
812,7896206401351
813,7896206401368
815,5000456028486
817,7896206402983
818,7896206405984
820,7896226506388
824,7891106006767
825,7896206403409
827,7896226506401
829,7896206404437
830,7896226506371
831,7896676405927
832,7896676421026
834,7896016807237
835,7896206404918
837,7896226506845
840,7890000000000
841,7896206402174
842,7896206401283
843,7896206400538
844,7896206402044
845,7896015526580
846,7896206401375
847,7896206407650
848,7896206407612
849,7896206407636
850,7896206407674
851,7896206407568
852,7896206407902
853,7896226506906
854,7898902274369
856,7896206407896
857,7896206401276
858,7896261019973
859,7896261018075
860,7896261020788
861,7898040324421
862,7896226506517
866,4036124008642
867,4036124007904
868,7895858016876
869,7896206400897
870,7895858016838
871,7896261019874
872,7896261019881
873,7896261005365
874,7896261020436
875,7896261007819
876,7896261018860
877,7896226500614
878,7896206402884
879,7896269900778
880,7895858016869
881,7896206401399
882,5000456028387
883,5000456028370
884,5000456028462
885,7896016807916
887,7640111930648
888,7896261020146
889,7896226506890
890,7896226500416
891,7896226500386
892,7896226500423
893,7896226500379
894,7896226505299
895,7896226505992
896,7896226502144
897,7896226502595
898,7896226502137
899,7896226506999
900,7896226501260
901,7896226501178
902,7896226502465
903,7896226501338
904,7896226501321
905,7896226500249
906,7896226503622
907,7896226503288
908,7896226507002
909,7896226506838
910,7896226506470
911,7896226506135
912,7896226502113
913,7896226503257
914,7895858017057
915,7896226500164
916,7896226502199
917,7896226500171
918,7896226502205
919,7896226500638
920,7896226506463
921,7896226500133
922,7896226502922
923,7896226504742
924,7896226500201
925,7896226502427
926,7896226500218
927,7896226502410
928,7896226501239
929,7896226500027
930,7896226500669
931,7896226500591
932,7896226500584
933,7896226500607
934,7896226501635
935,7896226501642
936,7896226501666
937,7896226500263
938,7896226502434
939,7896226506159
940,7896226506166
941,7896226506142
942,7896226505152
943,7896226505145
944,7896226507118
945,7896226500195
946,7896226502458
947,7896226500188
948,7896226502441
949,7896226503103
950,7896226503127
951,7896226503141
952,7896226503158
953,7896226501277
954,7899337000370
955,7899337000400
956,7899337000424
957,7899337000714
958,7899337000721
959,78993370007691
960,7899337000769
961,7899337000837
962,7899337000585
963,7899337000639
964,7899337000653
965,7899337000455
966,7899337000479
967,7899337000059
968,7899337000080
969,7899337000172
970,7899337000202
971,7899337000707
972,7899337000806
973,7899337000813
974,40361240195182
975,4036124019518
976,4036124019693
977,40361240196931
978,4036124019676
979,4036124019686
980,4036124019686
981,7891106000918
982,7891106904094
983,7891106000932
984,7891106903936
985,7891106903943
986,7891106001588
987,7891106000925
988,7891106909266
989,7891106909280
990,7891106909303
991,7891106909327
992,7891106909341
993,7891106909310
994,7891106909334
995,7891106909358
996,7891106910712
997,7795320050127
998,7795320050646
999,7897337712958
1000,7897337712972
1001,7897337712965
1002,7891106906890
1003,7891106907460
1004,7891106907491
1005,7891106904155
1006,7891106911788
1007,7891106908696
1008,7891106908719
1009,
1010,7891106004213
1011,
1012,7793640000143
1013,7891106910118
1014,
1015,7891106000888
1016,
1017,7891106001946
1018,7891106005616
1019,7891106904568
1020,7891106004329
1021,7891106003377
1022,7891106003384
1023,7898916010021
1024,7898916010052
1025,7795320008791
1026,7891106000956
1027,7891106909457
1028,7891106006316
1029,7795320000849
1030,7795320050011
1031,7891106903974
1032,7795320008807
1033,7891106904148
1034,7891106900775
1035,
1036,7891106900591
1037,7891106900898
1038,7891106900614
1039,7891106905886
1040,7891106006897
1041,7891106006903
1042,7891106001038
1043,7891106001045
1044,7891106005623
1045,7891106006798
1046,7891106904544
1047,7891106005630
1048,7897337712613
1049,7897337712606
1050,7897337712897
1051,7897337712903
1052,7891106905893
1053,7891106905909
1054,7891106905916
1055,7891106906944
1056,7891106006149
1057,7891106907439
1058,7891106905923
1059,7891106006491
1060,7891106908306
1061,
1062,7891106006507
1063,7891106912471
1064,7891106908320
1065,
1066,7891106905046
1067,7891106003230
1068,7891106001762
1069,7891106001755
1070,7891106001731
1071,7891106001748
1072,7891106905930
1073,7891106910163
1074,7501303484151
1075,7891106909495
1076,4260085521425
1077,7891106910620
1078,7591165880550
1079,7591165880567
1080,7891106005500
1081,7891106911948
1082,7891106904919
1083,7891106904889
1084,7891106904926
1085,7891106904896
1086,7891106005524
1087,7891106005647
1088,7891106005609
1089,7891106006644
1090,7891106906302
1091,7891106906319
1092,7891106906326
1093,7891106906333
1094,7891106911337
1095,7891106905961
1096,7891106907552
1097,7891106905985
1098,7891106907507
1099,7891106908030
1100,7891106904070
1101,7891106906296
1102,7891106905992
1103,7891106006392
1104,7891106906005
1105,7891106907224
1106,7891106906012
1107,7891106908641
1108,7891106904803
1109,7891106006132
1110,7891106906036
1111,7891106904582
1112,7891106006262
1113,7891106006279
1114,7891106907118
1115,7891106006286
1116,7891106912938
1117,7891106912945
1118,7891106006330
1119,7891106006910
1120,7891106912952
1121,7891106006460
1122,7891106006446
1123,7891106908610
1125,4260085521227
1126,4260085521234
1127,7891106906357
1128,7891106906364
1129,7891106906371
1130,7891106906388
1131,7891106906395
1132,7891106906401
1133,7891106906418
1134,7891106007047
1135,7891106007030
1136,7891106907002
1137,7891106907019
1138,7891106907057
1139,7891106907064
1140,7891106911320
1141,7891106906067
1142,7891106909044
1143,7891106906999
1144,7891106909068
1145,7891106906074
1146,7891106908894
1147,7891106908498
1148,7896548138281
1149,7896548138281
1150,7896548138281
1151,7896548138281
1152,7896548138281
1153,7896548138281
1154,7896548138281
1155,7896261000223
1156,7896261018181
1157,7896548138281
1158,7896548138281
1159,7896016808197
1160,7896548138281
1161,7896548138281
1162,7896548138281
1163,7896548138281
1164,7896548138281
1165,7896548138281
1166,7896548138281
1167,7896548138281
1168,7896548138281
1169,7896548138281
1170,7896548138281
1171,7896548138281
1172,7896548138281
1173,7896548138281
1174,7896548138281
1175,7896548138281
1176,7896548138281
1177,7896548138281
1178,7896548138281
1179,7896548138281
1180,7896548138281
1181,7896548138281
1182,7896548138281
1183,7896548138281
1184,7896548138281
1185,7896548138281
1186,7896548138281
1187,7896548138281
1188,7896548138281
1189,7896548138281
1190,7896548138281
1191,7896548138281
1192,7896548138281
1193,7896548138281
1194,7896548138281
1195,7896548138281
1196,7896548138281
1197,7896548138281
1198,7896548138281
1199,7896548138281
1200,7896548138281
1201,7896548138281
1202,7896548138281
1203,7896548138281
1204,7896548138281
1205,7896548138281
1206,7896548138281
1207,7896548138281
1208,7896548138281
1209,7896548138281
1210,7896548138281
1211,7896548138281
1212,7896548138281
1213,7896548138281
1214,7896548138281
1215,7896548138281
1216,7896548138281
1217,7896548138281
1218,7896548138281
1219,7896548138281
1220,7896548138281
1221,7896548138281
1222,7896548138281
1223,7896548138281
1224,7896548138281
1225,7896548138281
1226,7896548138281
1227,7896548138281
1228,7896548138281
1229,7896548138281
1230,7896548138281
1231,7896548138281
1232,7896548138281
1233,7896548138281
1234,7896548138281
1235,7896548138281
1236,7896548138281
1237,7896548138281
1238,7896548138281
1239,7896548138281
1240,7896548138281
1241,7896548138281
1242,7896548138281
1243,7896261011540
1244,7896548138281
1245,7896548138281
1246,7896548138281
1247,7896548138281
1248,7896548138281
1249,7896548138281
1250,78965481382811
1251,7896548138281
1252,7896548138281
1253,7896548138281
1254,7896548138281
1255,7896548138281
1256,7896261005587
1257,7896548138281
1258,7896548138281
1259,7896548138281
1260,7896548138281
1261,7896548138281
1262,7896548138281
1263,7896548138281
1264,7896548138281
1265,7896548138281
1266,7896548138281
1267,7896548138281
1268,7896548138281
1269,7896548138281
1270,7896548138281
1271,7896548138281
1272,7896548138281
1273,7896548138281
1274,7896548138281
1275,7896261018624
1276,7896261018631
1277,7896261018648
1278,7896548138281
1279,7896548138281
1280,7896548138281
1281,7896548138281
1282,796261000520
1283,7896548138281
1284,7896548138281
1285,7896548138281
1286,7896548138281
1287,7896548138281
1288,7896548138281
1289,7896548138281
1290,7896548138281
1291,7896548138281
1292,7896548138281
1293,7896548138281
1294,7896548138281
1295,7896548138281
1296,7896261020450
1297,7896548138281
1298,7896548138281
1299,7896548138281
1300,7896548138281
1301,7896548138281
1302,7896548138281
1303,7896548138281
1304,7896548138281
1305,7896261007802
1308,7896548138281
1309,7896548138281
1310,7896548138281
1311,7896548138281
1312,7896548138281
1313,7896548138281
1314,7896548138281
1315,7896548138281
1316,7896548138281
1317,7896548138281
1318,7896548138281
1319,7896548138281
1320,7896548138281
1321,7896548138281
1322,7896548138281
1323,7896548138281
1324,7896548138281
1325,7896548138281
1326,7896548138281
1327,7896548138281
1328,7896548138281
1329,7896548138281
1330,7896548138281
1331,7896548138281
1332,7896548138281
1333,7896548138281
1334,7896548138281
1335,7896548138281
1336,7896548138281
1337,7896548138281
1338,7896548138281
1339,7896548138281
1340,7896548138281
1341,7896548138281
1342,7896548138281
1343,7896261020672
1344,7896261020689
1345,7896548138281
1346,7896548138281
1347,7896548138281
1348,7896548138281
1349,7896548138281
1350,7896548138281
1351,7896548138281
1352,7896548138281
1353,7896548138281
1354,7896261012134
1355,7896548138281
1356,7896261001664
1357,7896261002791
1358,78962610027911
1359,7896261002807
1360,7896548138281
1361,7896548138281
1362,7896548138281
1363,7896548138281
1364,7896548138281
1365,7896261020184
1368,7896548138281
1369,7896548138281
1370,7896548138281
1371,7896548138281
1372,7896548138281
1373,7896548138281
1374,7896548138281
1375,7896548138281
1376,7896548138281
1377,7896548138281
1378,7896548138281
1379,7896548138281
1380,7896548138281
1381,7896548138281
1382,7896548138281
1383,7896548138281
1384,7896548138281
1385,7896261020733
1386,7896548138281
1387,7896261020757
1389,7896548138281
1390,7896548138281
1391,7896548138281
1392,7896548138281
1393,7896548138281
1394,7896548138281
1395,7896548138281
1396,7896548138281
1397,7896548138281
1398,7896548138281
1399,7896548138281
1400,7896548138281
1401,7896548138281
1402,7896548138281
1403,7896548138281
1404,7896548138281
1405,142536142536
1406,7896548138281
1407,7896548138281
1408,7896261006898
1409,7896548138281
1410,7896548138281
1411,7896548138281
1413,7896548138281
1414,7896548138281
1415,7896548138281
1416,7896548138281
1417,7896548138281
1418,7896548138281
1419,7896548138281
1420,7896548138281
1421,7896548138281
1422,7896548138281
1423,7896548138281
1424,7896548138281
1425,7896548138281
1426,7896548138281
1427,7896548138281
1428,7896548138281
1429,7896548138281
1430,7896548138281
1431,7896548138281
1432,7896548138281
1433,7896548138281
1434,7896548138281
1435,7896548138281
1436,5000456027885
1437,5000456027878
1438,5000456011624
1439,5000456011617
1440,5000456009966
1441,7896206402938
1442,5000456028523
1443,7895858009366
1444,7895858016845
1445,7895858016852
1446,7898029557154
1447,7896672202681
1448,7895858016913
1449,1262017
1450,7891721021220
1451,5000456027786
1452,7898029558809
1453,7898029552203
1454,7895858016951
1455,7898029557147
1456,7896672201790
1457,7896672202124
1458,7898040321420
1459,7898040321512
1460,7898040321505
1461,7898040321499
1462,7898040323141
1463,7898040320942
1464,7898040320874
1465,7898040320928
1466,7898040324223
1467,7898040322717
1468,7898040323806
1469,7898040323844
1470,7898040325114
1471,7898040320973
1472,7896261020863
1473,7613326002486
1474,7895858005849
1475,7896206402990
1476,7898029552128
1477,7898029551770
1478,7898029557123
1479,7896672202872
1480,7896672201950
1483,7898040321284
1484,7898040323127
1485,5000456031998
1486,7898029556829
1487,7898029551787
1488,7896637023047
1489,7896902212190
1490,7896230304536
1491,7898328480139
1492,7891058003203
1493,7896070605268
1494,7891058003241
1495,7891058003272
1496,7891058003302
1497,7891058021306
1498,7897595903785
1499,7897595903792
1500,7891058012946
1501,7891058009205
1502,7891058025137
1503,7891058003029
1504,7891058077464
1505,7891058077419
1506,7891058012960
1507,7891058012977
1508,7895858016968
1509,17898157726986
1510,7613326017916
1511,-1
1512,7895858013103
1513,7891058226718
1514,7891058021948
1515,7896548139585
1517,5000456027984
1518,7898040323271
1519,7898902274734
1520,7898902274383
1521,7898902274390
1522,7898902274413
1523,1553700110011
1524,7898902274529
1525,7898902274536
1526,7898902274543
1527,7898902274598
1528,7898902274789
1529,7898902274802
1530,7898902274819
1531,7898932797012
1532,7898932797036
1533,7898577810510
1534,7898577810541
1535,7896672203336
1536,7896014686100
1537,7896014686117
1538,7896014686124
1539,7895858007348
1540,7898361700270
1541,7896727869999
1542,7891058019747
1544,433376100000
1545,906671100000
1546,908071000000
1547,950001000000
1548,422270100000
1549,906471100000
1550,950001000001
1551,950001000002
1552,950001000003
1553,422270100001
1554,908071000011
1555,280022000000
1556,280021000000
1557,280024000000
1558,7895858013097
1560,7898040323288
1561,7891058017026
1562,7891058017033
1563,2595100000000
1564,7892953000717
1565,7892953200247
1566,7892953000496
1567,7892953201732
1568,7892953102916
1570,40361240086421
1571,422270300000
1572,87654321
1573,87654311
1574,87654111
1575,7892953203415
1576,7891106911344
1577,7892953203422
1578,422270120000
1579,7896226501711
1580,7898576550103
1581,7896637025225
1582,7896672203572
1583,7896672203589
1584,5000456027977
1586,7891106908184
1588,7891106908191
1589,7896672202902
1590,7895197160063
1591,7896206402914
1592,78966722029021
1593,7896206402761
1594,5000456028561
1596,7896206402961
1597,789620640291
1598,7896206402931
1599,7895197160032